timestamp_local,timestamp_utc,BG_long_ct_per_kWh,BG_short_ct_per_kWh,source_file
2024-01-01 16:45:00+01:00,2024-01-01 15:45:00+00:00,0.48,8.03,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 17:00:00+01:00,2024-01-01 16:00:00+00:00,1.29,7.94,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 17:15:00+01:00,2024-01-01 16:15:00+00:00,2.02,7.71,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 17:30:00+01:00,2024-01-01 16:30:00+00:00,2.06,8.15,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 17:45:00+01:00,2024-01-01 16:45:00+00:00,1.31,8.65,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 18:00:00+01:00,2024-01-01 17:00:00+00:00,0.07,9.46,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 18:15:00+01:00,2024-01-01 17:15:00+00:00,2.67,9.46,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 18:30:00+01:00,2024-01-01 17:30:00+00:00,2.41,9.69,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 18:45:00+01:00,2024-01-01 17:45:00+00:00,-3.81,9.69,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 19:00:00+01:00,2024-01-01 18:00:00+00:00,-6.21,8.8,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 19:15:00+01:00,2024-01-01 18:15:00+00:00,0.2,8.57,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 19:30:00+01:00,2024-01-01 18:30:00+00:00,-0.2,8.57,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 19:45:00+01:00,2024-01-01 18:45:00+00:00,2.08,7.86,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 20:00:00+01:00,2024-01-01 19:00:00+00:00,1.62,7.76,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 20:15:00+01:00,2024-01-01 19:15:00+00:00,1.26,10.46,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 20:30:00+01:00,2024-01-01 19:30:00+00:00,-0.29,8.1,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 20:45:00+01:00,2024-01-01 19:45:00+00:00,-1.39,8.1,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 21:00:00+01:00,2024-01-01 20:00:00+00:00,-0.79,9.06,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 21:15:00+01:00,2024-01-01 20:15:00+00:00,-0.77,9.06,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 21:30:00+01:00,2024-01-01 20:30:00+00:00,-1.22,9.06,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 21:45:00+01:00,2024-01-01 20:45:00+00:00,-14.24,9.06,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 22:00:00+01:00,2024-01-01 21:00:00+00:00,-8.15,8.91,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 22:15:00+01:00,2024-01-01 21:15:00+00:00,-2.03,8.91,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 22:30:00+01:00,2024-01-01 21:30:00+00:00,-0.11,8.91,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 22:45:00+01:00,2024-01-01 21:45:00+00:00,-7.81,8.91,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 23:00:00+01:00,2024-01-01 22:00:00+00:00,-10.64,8.38,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 23:15:00+01:00,2024-01-01 22:15:00+00:00,-4.64,8.38,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 23:30:00+01:00,2024-01-01 22:30:00+00:00,-8.14,8.38,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 23:45:00+01:00,2024-01-01 22:45:00+00:00,-11.99,8.38,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 00:00:00+01:00,2024-01-01 23:00:00+00:00,-4.1,6.43,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 00:15:00+01:00,2024-01-01 23:15:00+00:00,-0.84,5.71,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 00:30:00+01:00,2024-01-01 23:30:00+00:00,-0.67,5.71,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 00:45:00+01:00,2024-01-01 23:45:00+00:00,-5.35,5.71,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 01:00:00+01:00,2024-01-02 00:00:00+00:00,-2.15,4.43,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 01:15:00+01:00,2024-01-02 00:15:00+00:00,-0.76,4.43,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 01:30:00+01:00,2024-01-02 00:30:00+00:00,-1.01,4.43,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 01:45:00+01:00,2024-01-02 00:45:00+00:00,-3.73,4.43,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 02:00:00+01:00,2024-01-02 01:00:00+00:00,-1.19,4.43,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 02:15:00+01:00,2024-01-02 01:15:00+00:00,-0.92,4.43,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 02:30:00+01:00,2024-01-02 01:30:00+00:00,-1.03,4.43,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 02:45:00+01:00,2024-01-02 01:45:00+00:00,-1.4,4.43,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 03:00:00+01:00,2024-01-02 02:00:00+00:00,-0.7,4.02,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 03:15:00+01:00,2024-01-02 02:15:00+00:00,-1.43,4.02,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 03:30:00+01:00,2024-01-02 02:30:00+00:00,-1.93,4.02,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 03:45:00+01:00,2024-01-02 02:45:00+00:00,-4.62,4.02,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 04:00:00+01:00,2024-01-02 03:00:00+00:00,-2.27,4.02,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 04:15:00+01:00,2024-01-02 03:15:00+00:00,-1.0,2.19,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 04:30:00+01:00,2024-01-02 03:30:00+00:00,-0.89,2.19,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 04:45:00+01:00,2024-01-02 03:45:00+00:00,-1.58,2.19,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 05:00:00+01:00,2024-01-02 04:00:00+00:00,-1.16,1.8,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 05:15:00+01:00,2024-01-02 04:15:00+00:00,-0.77,2.41,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 05:30:00+01:00,2024-01-02 04:30:00+00:00,-0.4,2.41,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 05:45:00+01:00,2024-01-02 04:45:00+00:00,-0.79,2.41,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 06:00:00+01:00,2024-01-02 05:00:00+00:00,-7.47,3.81,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 06:15:00+01:00,2024-01-02 05:15:00+00:00,-1.77,2.74,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 06:30:00+01:00,2024-01-02 05:30:00+00:00,-1.37,3.84,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 06:45:00+01:00,2024-01-02 05:45:00+00:00,-1.37,3.83,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 07:00:00+01:00,2024-01-02 06:00:00+00:00,-11.78,5.01,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 07:15:00+01:00,2024-01-02 06:15:00+00:00,0.54,5.01,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 07:30:00+01:00,2024-01-02 06:30:00+00:00,0.42,7.19,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 07:45:00+01:00,2024-01-02 06:45:00+00:00,2.24,7.24,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 08:00:00+01:00,2024-01-02 07:00:00+00:00,0.36,5.87,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 08:15:00+01:00,2024-01-02 07:15:00+00:00,1.48,8.48,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 08:30:00+01:00,2024-01-02 07:30:00+00:00,1.48,8.62,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 08:45:00+01:00,2024-01-02 07:45:00+00:00,1.48,8.53,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 09:00:00+01:00,2024-01-02 08:00:00+00:00,3.44,9.15,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 09:15:00+01:00,2024-01-02 08:15:00+00:00,3.45,9.23,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 09:30:00+01:00,2024-01-02 08:30:00+00:00,3.41,9.12,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 09:45:00+01:00,2024-01-02 08:45:00+00:00,3.32,9.51,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 10:00:00+01:00,2024-01-02 09:00:00+00:00,3.64,9.15,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 10:15:00+01:00,2024-01-02 09:15:00+00:00,3.34,9.08,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 10:30:00+01:00,2024-01-02 09:30:00+00:00,3.45,9.09,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 10:45:00+01:00,2024-01-02 09:45:00+00:00,2.82,9.05,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 11:00:00+01:00,2024-01-02 10:00:00+00:00,3.61,9.83,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 11:15:00+01:00,2024-01-02 10:15:00+00:00,4.15,9.79,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 11:30:00+01:00,2024-01-02 10:30:00+00:00,4.15,9.76,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 11:45:00+01:00,2024-01-02 10:45:00+00:00,3.86,9.74,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 12:00:00+01:00,2024-01-02 11:00:00+00:00,4.51,12.47,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 12:15:00+01:00,2024-01-02 11:15:00+00:00,4.44,12.19,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 12:30:00+01:00,2024-01-02 11:30:00+00:00,4.81,10.63,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 12:45:00+01:00,2024-01-02 11:45:00+00:00,4.37,10.71,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 13:00:00+01:00,2024-01-02 12:00:00+00:00,4.73,14.07,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 13:15:00+01:00,2024-01-02 12:15:00+00:00,5.06,13.47,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 13:30:00+01:00,2024-01-02 12:30:00+00:00,5.06,12.69,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 13:45:00+01:00,2024-01-02 12:45:00+00:00,4.64,12.26,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 14:00:00+01:00,2024-01-02 13:00:00+00:00,4.81,14.85,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 14:15:00+01:00,2024-01-02 13:15:00+00:00,4.75,13.88,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 14:30:00+01:00,2024-01-02 13:30:00+00:00,4.76,12.75,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 14:45:00+01:00,2024-01-02 13:45:00+00:00,3.84,12.8,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 15:00:00+01:00,2024-01-02 14:00:00+00:00,3.75,12.81,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 15:15:00+01:00,2024-01-02 14:15:00+00:00,4.72,12.8,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 15:30:00+01:00,2024-01-02 14:30:00+00:00,4.72,13.96,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 15:45:00+01:00,2024-01-02 14:45:00+00:00,4.34,14.71,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 16:00:00+01:00,2024-01-02 15:00:00+00:00,3.2,12.76,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 16:15:00+01:00,2024-01-02 15:15:00+00:00,4.9,13.1,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 16:30:00+01:00,2024-01-02 15:30:00+00:00,5.1,13.28,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 16:45:00+01:00,2024-01-02 15:45:00+00:00,5.14,13.29,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 17:00:00+01:00,2024-01-02 16:00:00+00:00,3.17,10.57,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 17:15:00+01:00,2024-01-02 16:15:00+00:00,3.94,12.65,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 17:30:00+01:00,2024-01-02 16:30:00+00:00,4.74,12.83,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 17:45:00+01:00,2024-01-02 16:45:00+00:00,5.47,13.62,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 18:00:00+01:00,2024-01-02 17:00:00+00:00,4.08,11.75,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 18:15:00+01:00,2024-01-02 17:15:00+00:00,3.64,12.66,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 18:30:00+01:00,2024-01-02 17:30:00+00:00,3.27,10.19,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 18:45:00+01:00,2024-01-02 17:45:00+00:00,4.61,13.48,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 19:00:00+01:00,2024-01-02 18:00:00+00:00,4.03,13.95,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 19:15:00+01:00,2024-01-02 18:15:00+00:00,3.82,12.97,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 19:30:00+01:00,2024-01-02 18:30:00+00:00,1.76,10.46,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 19:45:00+01:00,2024-01-02 18:45:00+00:00,-0.41,9.9,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 20:00:00+01:00,2024-01-02 19:00:00+00:00,2.58,14.21,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 20:15:00+01:00,2024-01-02 19:15:00+00:00,0.61,10.79,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 20:30:00+01:00,2024-01-02 19:30:00+00:00,1.17,8.77,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 20:45:00+01:00,2024-01-02 19:45:00+00:00,2.16,12.71,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 21:00:00+01:00,2024-01-02 20:00:00+00:00,1.64,12.43,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 21:15:00+01:00,2024-01-02 20:15:00+00:00,0.94,10.27,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 21:30:00+01:00,2024-01-02 20:30:00+00:00,0.84,12.65,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 21:45:00+01:00,2024-01-02 20:45:00+00:00,-4.87,7.7,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 22:00:00+01:00,2024-01-02 21:00:00+00:00,0.49,11.86,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 22:15:00+01:00,2024-01-02 21:15:00+00:00,0.78,10.99,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 22:30:00+01:00,2024-01-02 21:30:00+00:00,0.72,7.7,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 22:45:00+01:00,2024-01-02 21:45:00+00:00,-1.75,7.7,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 23:00:00+01:00,2024-01-02 22:00:00+00:00,-0.19,14.16,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 23:15:00+01:00,2024-01-02 22:15:00+00:00,-0.55,9.98,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 23:30:00+01:00,2024-01-02 22:30:00+00:00,-4.21,4.35,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-02 23:45:00+01:00,2024-01-02 22:45:00+00:00,-18.62,4.35,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-03 00:00:00+01:00,2024-01-02 23:00:00+00:00,-15.6,7.43,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-03 00:15:00+01:00,2024-01-02 23:15:00+00:00,-2.21,7.43,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-03 00:30:00+01:00,2024-01-02 23:30:00+00:00,-0.97,7.43,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-03 00:45:00+01:00,2024-01-02 23:45:00+00:00,-4.23,7.43,swissgrid-prices-for-balance-energy_240101-240201.xlsx
